posted_date,city,new_cases,new_tests,new_deaths
2020-02-06,Aliso Viejo,1,1,0
2020-03-09,Aliso Viejo,1,2,0
2020-03-11,Aliso Viejo,0,2,0
2020-03-12,Aliso Viejo,0,1,0
2020-03-13,Aliso Viejo,0,1,0
2020-03-14,Aliso Viejo,0,1,0
2020-03-15,Aliso Viejo,0,2,0
2020-03-16,Aliso Viejo,0,12,0
2020-03-17,Aliso Viejo,1,11,0
2020-03-18,Aliso Viejo,0,10,0
2020-03-19,Aliso Viejo,0,6,0
2020-03-20,Aliso Viejo,0,9,0
2020-03-21,Aliso Viejo,0,1,0
2020-03-22,Aliso Viejo,1,3,0
2020-03-23,Aliso Viejo,1,7,0
2020-03-24,Aliso Viejo,2,4,0
2020-03-25,Aliso Viejo,0,9,0
2020-03-26,Aliso Viejo,0,5,0
2020-03-27,Aliso Viejo,1,12,0
2020-03-28,Aliso Viejo,2,7,0
2020-03-29,Aliso Viejo,0,3,0
2020-03-30,Aliso Viejo,1,6,0
2020-03-31,Aliso Viejo,0,5,0
2020-04-01,Aliso Viejo,1,17,0
2020-04-02,Aliso Viejo,3,14,0
2020-04-03,Aliso Viejo,0,10,1
2020-04-04,Aliso Viejo,0,6,0
2020-04-05,Aliso Viejo,0,2,0
2020-04-06,Aliso Viejo,0,8,0
2020-04-07,Aliso Viejo,0,7,0
2020-04-08,Aliso Viejo,0,10,0
2020-04-09,Aliso Viejo,0,3,0
2020-04-10,Aliso Viejo,0,11,0
2020-04-11,Aliso Viejo,0,5,0
2020-04-13,Aliso Viejo,1,10,0
2020-04-14,Aliso Viejo,1,12,0
2020-04-15,Aliso Viejo,0,6,0
2020-04-16,Aliso Viejo,1,9,0
2020-04-17,Aliso Viejo,0,11,0
2020-04-18,Aliso Viejo,0,6,0
2020-04-19,Aliso Viejo,0,1,0
2020-04-20,Aliso Viejo,0,11,0
2020-04-21,Aliso Viejo,0,9,0
2020-04-22,Aliso Viejo,1,13,0
2020-04-23,Aliso Viejo,0,16,0
2020-04-24,Aliso Viejo,0,17,0
2020-04-25,Aliso Viejo,0,12,0
2020-04-26,Aliso Viejo,0,7,0
2020-04-27,Aliso Viejo,0,19,0
2020-04-28,Aliso Viejo,1,21,0
2020-04-29,Aliso Viejo,0,16,0
2020-04-30,Aliso Viejo,1,23,0
2020-05-01,Aliso Viejo,0,306,0
2020-05-02,Aliso Viejo,0,17,0
2020-05-03,Aliso Viejo,0,4,0
2020-05-04,Aliso Viejo,0,16,0
2020-05-05,Aliso Viejo,1,28,0
2020-05-06,Aliso Viejo,0,92,0
2020-05-07,Aliso Viejo,3,20,0
2020-05-08,Aliso Viejo,1,23,0
2020-05-09,Aliso Viejo,1,13,0
2020-05-10,Aliso Viejo,0,13,0
2020-05-11,Aliso Viejo,0,27,0
2020-05-12,Aliso Viejo,2,31,0
2020-05-13,Aliso Viejo,0,135,0
2020-05-14,Aliso Viejo,0,21,0
2020-05-15,Aliso Viejo,4,35,0
2020-05-16,Aliso Viejo,0,11,0
2020-05-17,Aliso Viejo,0,15,0
2020-05-18,Aliso Viejo,1,35,0
2020-05-19,Aliso Viejo,0,30,0
2020-05-20,Aliso Viejo,0,138,0
2020-05-21,Aliso Viejo,0,33,0
2020-05-22,Aliso Viejo,0,32,0
2020-05-23,Aliso Viejo,0,19,0
2020-05-24,Aliso Viejo,0,14,0
2020-05-25,Aliso Viejo,0,11,0
2020-05-26,Aliso Viejo,0,50,0
2020-05-27,Aliso Viejo,0,37,0
2020-05-28,Aliso Viejo,2,44,0
2020-05-29,Aliso Viejo,1,44,0
2020-05-30,Aliso Viejo,0,10,0
2020-05-31,Aliso Viejo,1,20,0
2020-06-01,Aliso Viejo,0,32,0
2020-06-02,Aliso Viejo,0,132,0
2020-06-03,Aliso Viejo,0,37,0
2020-06-04,Aliso Viejo,2,35,0
2020-06-05,Aliso Viejo,0,42,0
2020-06-06,Aliso Viejo,0,19,0
2020-06-07,Aliso Viejo,0,11,0
2020-06-08,Aliso Viejo,0,34,0
2020-06-09,Aliso Viejo,0,144,0
2020-06-10,Aliso Viejo,1,44,0
2020-06-11,Aliso Viejo,4,65,0
2020-06-12,Aliso Viejo,0,53,0
2020-06-13,Aliso Viejo,3,28,0
2020-06-14,Aliso Viejo,2,30,0
2020-06-15,Aliso Viejo,6,55,0
2020-06-16,Aliso Viejo,3,144,0
2020-06-17,Aliso Viejo,8,164,0
2020-06-18,Aliso Viejo,2,59,0
2020-06-19,Aliso Viejo,3,76,0
2020-06-20,Aliso Viejo,3,47,0
2020-06-21,Aliso Viejo,2,22,0
2020-06-22,Aliso Viejo,12,66,0
2020-06-23,Aliso Viejo,7,240,0
2020-06-24,Aliso Viejo,6,94,0
2020-06-25,Aliso Viejo,9,93,0
2020-06-26,Aliso Viejo,15,106,0
2020-06-27,Aliso Viejo,9,46,0
2020-06-28,Aliso Viejo,4,44,0
2020-06-29,Aliso Viejo,9,109,0
2020-06-30,Aliso Viejo,9,195,0
2020-07-01,Aliso Viejo,9,96,0
2020-07-02,Aliso Viejo,18,110,0
2020-07-03,Aliso Viejo,6,96,0
2020-07-04,Aliso Viejo,2,36,0
2020-07-05,Aliso Viejo,3,41,0
2020-07-06,Aliso Viejo,12,104,0
2020-07-07,Aliso Viejo,13,241,1
2020-07-08,Aliso Viejo,8,190,0
2020-07-09,Aliso Viejo,9,87,0
2020-07-10,Aliso Viejo,6,88,0
2020-07-11,Aliso Viejo,4,42,0
2020-07-12,Aliso Viejo,1,26,0
2020-07-13,Aliso Viejo,10,101,0
2020-07-14,Aliso Viejo,5,183,0
2020-07-15,Aliso Viejo,4,82,0
2020-07-16,Aliso Viejo,3,84,0
2020-07-17,Aliso Viejo,2,73,0
2020-07-18,Aliso Viejo,1,48,0
2020-07-19,Aliso Viejo,2,31,0
2020-07-20,Aliso Viejo,4,74,0
2020-07-21,Aliso Viejo,5,212,0
2020-07-22,Aliso Viejo,4,186,0
2020-07-23,Aliso Viejo,1,53,0
2020-07-24,Aliso Viejo,3,63,1
2020-07-25,Aliso Viejo,0,51,0
